Actor,Connections
Anupam Kher,374
Danny Trejo,292
Samuel L. Jackson,279
Fred Tatasciore,274
Fred Armisen,265
John Goodman,265
Amitabh Bachchan,258
Paresh Rawal,250
Morgan Freeman,249
Liev Schreiber,244
Naseeruddin Shah,239
Bruce Willis,236
Jason Sudeikis,233
Shah Rukh Khan,232
Paul Giamatti,231
Dennis Quaid,228
Takahiro Sakurai,228
Molly Shannon,226
Yuichi Nakamura,224
Yuki Kaji,222
James Franco,222
Akshay Kumar,219
Jim Cummings,219
Keith David,216
Om Puri,215
Nicolas Cage,214
Jane Lynch,211
Cameron Diaz,210
Anil Kapoor,209
Willem Dafoe,206
Bradley Cooper,205
John Michael Higgins,202
Boman Irani,201
Addison Holley,200
James Cromwell,199
John Leguizamo,199
Asrani,199
Joseph Gordon-Levitt,197
Zach Galifianakis,196
Lake Bell,195
Steve Carell,194
Katsuyuki Konishi,194
Joan Cusack,191
Tony Hale,190
Steve Buscemi,189
Jun Fukuyama,188
Prakash Raj,187
Jon Hamm,186
Maya Rudolph,186
Kari Wahlgren,186
Sanjay Mishra,186
Junichi Suwabe,186
Justin Long,184
Viola Davis,183
Julia Roberts,183
Ray Liotta,182
Ben Kingsley,182
Hiroshi Kamiya,182
Sean Astin,181
Dermot Mulroney,181
Jonah Hill,178
Johnny Depp,178
Rob Riggle,177
Michael Gambon,177
Terrence Howard,177
Chris Parnell,177
Jim Broadbent,176
John Travolta,175
Roy Rogers,174
Robert Patrick,174
Nick Swardson,174
Kulbhushan Kharbanda,173
Gulshan Grover,173
Janeane Garofalo,173
Tara Strong,171
Alfred Molina,171
Danny DeVito,171
James Marsden,171
Sharat Saxena,170
Saif Ali Khan,170
Adam Sandler,170
Guy Pearce,169
Patton Oswalt,169
Diedrich Bader,169
Rajesh Sharma,169
Tom Wilkinson,169
Elizabeth Banks,169
William H. Macy,168
Naomi Watts,168
Kay Kay Menon,168
Tiffany Haddish,166
Michael Cera,166
Bobby Cannavale,166
Rob Corddry,165
Daisuke Ono,164
Benedict Cumberbatch,163
Jeff Bennett,163
Kevin Michael Richardson,163
Ewan McGregor,162
Ed Helms,162
