Source,Target,Value
Nicolas Cage,Steve Buscemi,2
Steve Buscemi,William H. Macy,1
Amitabh Bachchan,Sharat Saxena,3
Rob Corddry,Zach Galifianakis,2
Ed Helms,Rob Corddry,1
Patton Oswalt,Rob Corddry,1
Rob Corddry,Rob Riggle,2
Jason Sudeikis,Rob Corddry,2
Ed Helms,Zach Galifianakis,1
Patton Oswalt,Zach Galifianakis,1
Rob Riggle,Zach Galifianakis,1
Jason Sudeikis,Zach Galifianakis,2
Ed Helms,Patton Oswalt,1
Ed Helms,Rob Riggle,3
Ed Helms,Jason Sudeikis,1
Patton Oswalt,Rob Riggle,1
Jason Sudeikis,Patton Oswalt,1
Jason Sudeikis,Rob Riggle,1
Jim Broadbent,Michael Gambon,1
Jonah Hill,Robert Patrick,1
Jonah Hill,Justin Long,2
Justin Long,Robert Patrick,1
Ben Kingsley,William H. Macy,2
Patton Oswalt,Willem Dafoe,1
John Goodman,Sean Astin,1
Danny DeVito,John Goodman,1
Danny DeVito,Sean Astin,1
James Marsden,John Leguizamo,1
Lake Bell,Terrence Howard,1
Fred Armisen,Maya Rudolph,5
Fred Tatasciore,Kari Wahlgren,2
Jim Cummings,Patton Oswalt,1
Steve Carell,Zach Galifianakis,2
Bradley Cooper,Zach Galifianakis,1
Michael Cera,Zach Galifianakis,1
Jon Hamm,Zach Galifianakis,1
Bruce Willis,Zach Galifianakis,1
James Franco,Zach Galifianakis,1
Naomi Watts,Zach Galifianakis,1
Bradley Cooper,Steve Carell,1
Michael Cera,Steve Carell,1
Jon Hamm,Steve Carell,1
Bruce Willis,Steve Carell,1
James Franco,Steve Carell,1
Naomi Watts,Steve Carell,1
Bradley Cooper,Michael Cera,2
Bradley Cooper,Jon Hamm,2
Bradley Cooper,Bruce Willis,1
Bradley Cooper,James Franco,1
Bradley Cooper,Naomi Watts,1
Jon Hamm,Michael Cera,2
Bruce Willis,Michael Cera,1
James Franco,Michael Cera,1
Michael Cera,Naomi Watts,1
Bruce Willis,Jon Hamm,1
James Franco,Jon Hamm,1
Jon Hamm,Naomi Watts,1
Bruce Willis,James Franco,1
Bruce Willis,Naomi Watts,1
James Franco,Naomi Watts,1
Takahiro Sakurai,Yuichi Nakamura,7
Junichi Suwabe,Katsuyuki Konishi,2
John Leguizamo,William H. Macy,3
John Travolta,Steve Buscemi,2
Jonah Hill,Morgan Freeman,3
Anil Kapoor,Anupam Kher,7
Amitabh Bachchan,Om Puri,3
Anupam Kher,Paresh Rawal,3
Anil Kapoor,Asrani,3
Anil Kapoor,Sharat Saxena,1
Asrani,Sharat Saxena,2
Akshay Kumar,Saif Ali Khan,2
Akshay Kumar,Anil Kapoor,4
Akshay Kumar,Sanjay Mishra,2
Anil Kapoor,Saif Ali Khan,3
Anil Kapoor,Sanjay Mishra,1
Saif Ali Khan,Sanjay Mishra,1
Amitabh Bachchan,Kulbhushan Kharbanda,1
Saif Ali Khan,Shah Rukh Khan,2
Om Puri,Shah Rukh Khan,4
Boman Irani,Shah Rukh Khan,6
Boman Irani,Om Puri,3
Anupam Kher,Shah Rukh Khan,6
Anupam Kher,Asrani,3
Anupam Kher,Gulshan Grover,2
John Travolta,Morgan Freeman,1
John Travolta,Robert Patrick,1
Morgan Freeman,Robert Patrick,1
Akshay Kumar,Gulshan Grover,1
Amitabh Bachchan,Shah Rukh Khan,5
Shah Rukh Khan,Sharat Saxena,2
Gulshan Grover,Shah Rukh Khan,3
Gulshan Grover,Sharat Saxena,3
Asrani,Paresh Rawal,6
Anil Kapoor,Paresh Rawal,2
Anil Kapoor,Gulshan Grover,1
Asrani,Gulshan Grover,2
Anupam Kher,Prakash Raj,1
Samuel L. Jackson,Willem Dafoe,2
Elizabeth Banks,William H. Macy,2
Bradley Cooper,Keith David,1
Ewan McGregor,Tom Wilkinson,1
John Leguizamo,Steve Buscemi,1
Diedrich Bader,Fred Tatasciore,1
Danny DeVito,Michael Gambon,1
Jeff Bennett,Jim Cummings,9
Dermot Mulroney,Sean Astin,1
Bruce Willis,Keith David,1
Jason Sudeikis,Lake Bell,2
Liev Schreiber,Michael Gambon,2
James Marsden,Keith David,2
Naomi Watts,Samuel L. Jackson,1
Morgan Freeman,Steve Carell,2
John Goodman,Steve Carell,2
John Michael Higgins,Steve Carell,2
Jonah Hill,Steve Carell,2
Molly Shannon,Steve Carell,2
Ed Helms,Steve Carell,2
John Goodman,Morgan Freeman,2
John Michael Higgins,Morgan Freeman,2
Molly Shannon,Morgan Freeman,2
Ed Helms,Morgan Freeman,1
John Goodman,John Michael Higgins,2
John Goodman,Jonah Hill,2
John Goodman,Molly Shannon,2
Ed Helms,John Goodman,1
John Michael Higgins,Jonah Hill,2
John Michael Higgins,Molly Shannon,2
Ed Helms,John Michael Higgins,1
Jonah Hill,Molly Shannon,2
Ed Helms,Jonah Hill,1
Ed Helms,Molly Shannon,1
Bruce Willis,Tara Strong,1
Danny Trejo,Johnny Depp,1
Johnny Depp,Willem Dafoe,1
Danny Trejo,Willem Dafoe,1
Janeane Garofalo,John Michael Higgins,1
Ray Liotta,Zach Galifianakis,2
Julia Roberts,Tom Wilkinson,1
Julia Roberts,Paul Giamatti,1
Paul Giamatti,Tom Wilkinson,1
Bruce Willis,Samuel L. Jackson,3
Danny DeVito,John Travolta,1
Alfred Molina,Willem Dafoe,2
Cameron Diaz,Viola Davis,2
Cameron Diaz,Rob Corddry,2
Cameron Diaz,Lake Bell,2
Cameron Diaz,Jason Sudeikis,1
Cameron Diaz,Zach Galifianakis,1
Lake Bell,Rob Corddry,3
Lake Bell,Zach Galifianakis,1
Jane Lynch,Jason Sudeikis,1
Fred Armisen,Jane Lynch,2
Bradley Cooper,Jane Lynch,1
Fred Armisen,Jason Sudeikis,1
Bradley Cooper,Jason Sudeikis,1
Bradley Cooper,Fred Armisen,1
Diedrich Bader,Tiffany Haddish,1
Jane Lynch,Justin Long,1
Joan Cusack,John Goodman,1
John Leguizamo,Justin Long,1
Chris Parnell,Rob Riggle,1
Alfred Molina,Nicolas Cage,1
Alfred Molina,Ben Kingsley,1
Adam Sandler,Guy Pearce,2
Fred Tatasciore,Jeff Bennett,1
Jeff Bennett,Keith David,1
John Goodman,Steve Buscemi,2
Jim Cummings,Tara Strong,1
Jim Cummings,Keith David,2
Ewan McGregor,Jim Broadbent,1
Adam Sandler,Maya Rudolph,3
Daisuke Ono,Katsuyuki Konishi,3
Junichi Suwabe,Yuichi Nakamura,5
Daisuke Ono,Junichi Suwabe,8
Jun Fukuyama,Junichi Suwabe,3
Daisuke Ono,Yuichi Nakamura,6
Jun Fukuyama,Yuichi Nakamura,4
Daisuke Ono,Jun Fukuyama,5
Daisuke Ono,Hiroshi Kamiya,6
Hiroshi Kamiya,Junichi Suwabe,2
Janeane Garofalo,William H. Macy,1
Anupam Kher,Sanjay Mishra,2
Naseeruddin Shah,Rajesh Sharma,1
Elizabeth Banks,James Marsden,1
Katsuyuki Konishi,Yuichi Nakamura,3
Alfred Molina,William H. Macy,1
Bradley Cooper,Julia Roberts,1
Diedrich Bader,Justin Long,1
Diedrich Bader,Kevin Michael Richardson,2
Justin Long,Kevin Michael Richardson,1
Alfred Molina,Fred Tatasciore,1
John Leguizamo,Tony Hale,1
John Goodman,Paul Giamatti,1
Jason Sudeikis,Julia Roberts,1
Jane Lynch,Molly Shannon,1
James Cromwell,Morgan Freeman,1
Liev Schreiber,Morgan Freeman,1
James Cromwell,Liev Schreiber,1
Jun Fukuyama,Yuki Kaji,6
Kay Kay Menon,Rajesh Sharma,1
Guy Pearce,Keith David,1
Junichi Suwabe,Takahiro Sakurai,9
Anupam Kher,Bradley Cooper,1
Hiroshi Kamiya,Yuki Kaji,5
Daisuke Ono,Yuki Kaji,12
Daisuke Ono,Takahiro Sakurai,9
Takahiro Sakurai,Yuki Kaji,13
Yuichi Nakamura,Yuki Kaji,5
Junichi Suwabe,Yuki Kaji,5
Chris Parnell,Fred Tatasciore,1
Fred Tatasciore,Kevin Michael Richardson,2
Chris Parnell,Kevin Michael Richardson,1
Elizabeth Banks,Justin Long,2
Ewan McGregor,Julia Roberts,1
Dermot Mulroney,Julia Roberts,1
Benedict Cumberbatch,Julia Roberts,1
Dermot Mulroney,Ewan McGregor,1
Benedict Cumberbatch,Ewan McGregor,1
Benedict Cumberbatch,Dermot Mulroney,1
Hiroshi Kamiya,Jun Fukuyama,2
Hiroshi Kamiya,Yuichi Nakamura,2
Hiroshi Kamiya,Kari Wahlgren,1
Daisuke Ono,Kari Wahlgren,1
Jun Fukuyama,Kari Wahlgren,1
Kari Wahlgren,Yuichi Nakamura,1
Kari Wahlgren,Yuki Kaji,1
Jane Lynch,Rob Corddry,1
Chris Parnell,Rob Corddry,1
Chris Parnell,Jane Lynch,1
Boman Irani,Paresh Rawal,3
Bradley Cooper,John Michael Higgins,1
Bobby Cannavale,Joseph Gordon-Levitt,1
Bobby Cannavale,Samuel L. Jackson,1
Bobby Cannavale,Dermot Mulroney,1
Joseph Gordon-Levitt,Samuel L. Jackson,1
Dermot Mulroney,Joseph Gordon-Levitt,1
Dermot Mulroney,Samuel L. Jackson,1
Akshay Kumar,Paresh Rawal,7
Bradley Cooper,Jonah Hill,1
Boman Irani,Sanjay Mishra,3
Alfred Molina,Johnny Depp,1
James Marsden,Terrence Howard,1
Liev Schreiber,Terrence Howard,2
James Marsden,Liev Schreiber,1
