Source,Target,Movies_Count
Nicolas Cage,Steve Buscemi,2
John Travolta,Michael Madsen,1
Katrina Kaif,Salman Khan,4
Paresh Rawal,Salman Khan,3
Katrina Kaif,Paresh Rawal,2
Amitabh Bachchan,Katrina Kaif,3
Amitabh Bachchan,Sharat Saxena,3
Katrina Kaif,Sharat Saxena,1
Amitabh Bachchan,Vijay Sethupathi,4
Amitabh Bachchan,Nassar,4
Nassar,Vijay Sethupathi,4
Anjali,Michael Madsen,7
Ben Kingsley,Laurence Fishburne,2
Anil Kapoor,Salman Khan,2
Nawazuddin Siddiqui,Vijay Raaz,1
Anil Kapoor,John Abraham,2
John Goodman,Sean Astin,1
Ashleigh Ball,Vincent Tong,4
Danny Trejo,Michael Madsen,1
Amitabh Bachchan,Vijay Raaz,3
Abhishek Bachchan,John Abraham,3
John Abraham,Manoj Joshi,1
Abhishek Bachchan,Manoj Joshi,2
Sam Vincent,Tom Kenny,1
Paresh Rawal,Rajpal Yadav,6
Manoj Joshi,Paresh Rawal,6
Manoj Joshi,Rajpal Yadav,5
Jim Cummings,Tom Kenny,1
Jackie Shroff,Salman Khan,1
Jackie Shroff,Katrina Kaif,3
Bruce Willis,James Franco,1
Pankaj Tripathi,Sanjay Mishra,4
Amitabh Bachchan,Rishi Kapoor,3
Eric Roberts,John Leguizamo,1
Anupam Kher,Michael Madsen,1
John Leguizamo,Mike Epps,1
Danny Trejo,Eric Roberts,1
Rajesh Sharma,Rani Mukerji,2
John Travolta,Steve Buscemi,2
Jackie Shroff,Rajpal Yadav,2
Anil Kapoor,Anupam Kher,7
Eric Roberts,Ron Perlman,1
Amitabh Bachchan,Salman Khan,1
Amitabh Bachchan,John Abraham,2
Amitabh Bachchan,Rani Mukerji,7
Amitabh Bachchan,Om Puri,3
Amitabh Bachchan,Rajpal Yadav,2
John Abraham,Salman Khan,1
Rani Mukerji,Salman Khan,4
Om Puri,Salman Khan,2
Rajpal Yadav,Salman Khan,3
John Abraham,Rani Mukerji,1
John Abraham,Om Puri,1
John Abraham,Rajpal Yadav,1
Om Puri,Rani Mukerji,2
Rajpal Yadav,Rani Mukerji,2
Om Puri,Rajpal Yadav,4
Gulshan Grover,John Abraham,1
Anjali,Prakash Raj,4
Anupam Kher,Paresh Rawal,3
Champion,Gene Autry,29
Rani Mukerji,Saif Ali Khan,3
Eric Roberts,Michael Madsen,1
Rani Mukerji,Sharat Saxena,1
Anil Kapoor,Asrani,3
Anil Kapoor,Sharat Saxena,1
Asrani,Sharat Saxena,2
Naseeruddin Shah,Pankaj Tripathi,1
Akshay Kumar,Saif Ali Khan,2
Salman Khan,Yashpal Sharma,1
Om Puri,Yashpal Sharma,1
Kay Kay Menon,Nassar,3
Akshay Kumar,Anil Kapoor,4
Akshay Kumar,Kareena Kapoor,4
Akshay Kumar,Yashpal Sharma,2
Akshay Kumar,Sanjay Mishra,2
Anil Kapoor,Kareena Kapoor,2
Anil Kapoor,Saif Ali Khan,3
Anil Kapoor,Yashpal Sharma,1
Anil Kapoor,Sanjay Mishra,1
Kareena Kapoor,Saif Ali Khan,2
Kareena Kapoor,Yashpal Sharma,2
Kareena Kapoor,Sanjay Mishra,1
Saif Ali Khan,Yashpal Sharma,2
Saif Ali Khan,Sanjay Mishra,1
Sanjay Mishra,Yashpal Sharma,5
Rani Mukerji,Shah Rukh Khan,9
Amrish Puri,Anil Kapoor,2
Saif Ali Khan,Shah Rukh Khan,2
Katrina Kaif,Rishi Kapoor,2
Rishi Kapoor,Saif Ali Khan,1
Rani Mukerji,Rishi Kapoor,1
Abhishek Bachchan,Rishi Kapoor,1
Abhishek Bachchan,Saif Ali Khan,1
Abhishek Bachchan,Rani Mukerji,5
Rishi Kapoor,Sharat Saxena,1
Om Puri,Shah Rukh Khan,4
Kareena Kapoor,Shah Rukh Khan,5
Boman Irani,Shah Rukh Khan,6
Kareena Kapoor,Om Puri,5
Boman Irani,Om Puri,3
Boman Irani,Kareena Kapoor,4
Amrish Puri,Shah Rukh Khan,3
Anupam Kher,Shah Rukh Khan,6
Amrish Puri,Anupam Kher,3
Anupam Kher,Rani Mukerji,4
Anupam Kher,Asrani,3
Abhishek Bachchan,Katrina Kaif,1
Abhishek Bachchan,Jackie Shroff,1
Anupam Kher,Rishi Kapoor,3
Gulshan Grover,Rishi Kapoor,1
Amrish Puri,Rishi Kapoor,3
Anupam Kher,Gulshan Grover,2
Amrish Puri,Gulshan Grover,3
John Travolta,Morgan Freeman,1
Akshay Kumar,Gulshan Grover,1
Abhishek Bachchan,Amitabh Bachchan,5
John Abraham,Katrina Kaif,1
John Abraham,Nawazuddin Siddiqui,1
Katrina Kaif,Nawazuddin Siddiqui,2
Sharat Saxena,Vijay Raaz,1
Salman Khan,Shah Rukh Khan,2
Anupam Kher,Salman Khan,6
Amitabh Bachchan,Shah Rukh Khan,5
Amitabh Bachchan,Kareena Kapoor,4
Abhishek Bachchan,Shah Rukh Khan,3
Ajay Devgn,John Abraham,2
Manoj Joshi,Sharat Saxena,5
Anupam Kher,Kareena Kapoor,2
Shah Rukh Khan,Sharat Saxena,2
Gulshan Grover,Shah Rukh Khan,3
Gulshan Grover,Sharat Saxena,3
Akshay Kumar,Jackie Shroff,3
Asrani,Paresh Rawal,6
Anil Kapoor,Paresh Rawal,2
Anil Kapoor,Gulshan Grover,1
Asrani,Gulshan Grover,2
Anupam Kher,Nassar,1
Anupam Kher,Prakash Raj,1
Nassar,Prakash Raj,2
Samuel L. Jackson,Willem Dafoe,2
John Leguizamo,Steve Buscemi,1
Abhishek Bachchan,Boman Irani,5
Boman Irani,John Abraham,5
Jim Cummings,Tress MacNeille,7
Jeff Bennett,Jim Cummings,9
Jeff Bennett,Tress MacNeille,3
Bruce Willis,Keith David,1
Antonio Banderas,Steve Buscemi,2
Clancy Brown,Mike Epps,1
John Goodman,Morgan Freeman,2
Tara Strong,Tress MacNeille,3
Bruce Willis,Tress MacNeille,1
Bruce Willis,Tara Strong,1
Antonio Banderas,Johnny Depp,1
Antonio Banderas,Danny Trejo,4
Antonio Banderas,Willem Dafoe,1
Danny Trejo,Johnny Depp,1
Johnny Depp,Willem Dafoe,1
Danny Trejo,Willem Dafoe,1
Bruce Willis,Samuel L. Jackson,3
Alfred Molina,Willem Dafoe,2
Fred Armisen,Jane Lynch,2
