Actor,Streaming,Movies_Count
Anupam Kher,MultiPlatform,60
Maggie Binkley,Amazon Prime,56
Amitabh Bachchan,MultiPlatform,47
Shah Rukh Khan,MultiPlatform,46
Jim Cummings,MultiPlatform,44
Nassar,MultiPlatform,43
Akshay Kumar,MultiPlatform,41
Paresh Rawal,MultiPlatform,39
Danny Trejo,MultiPlatform,39
Naseeruddin Shah,MultiPlatform,39
Nicolas Cage,MultiPlatform,36
Om Puri,MultiPlatform,35
Samuel L. Jackson,MultiPlatform,35
1,Amazon Prime,35
Prakash Raj,MultiPlatform,34
Takahiro Sakurai,MultiPlatform,33
Julie Tejwani,Netflix,33
Tara Strong,MultiPlatform,32
Gene Autry,Amazon Prime,32
Michael Madsen,MultiPlatform,31
Fred Tatasciore,MultiPlatform,31
Rupa Bhimani,Netflix,31
Yuki Kaji,MultiPlatform,30
Salman Khan,MultiPlatform,30
Anil Kapoor,MultiPlatform,30
Tony Hale,MultiPlatform,30
Bruce Willis,MultiPlatform,30
Boman Irani,MultiPlatform,30
John Goodman,MultiPlatform,29
Champion,Amazon Prime,29
Kareena Kapoor,MultiPlatform,29
Vincent Tong,MultiPlatform,28
John Leguizamo,MultiPlatform,28
Jeff Bennett,MultiPlatform,28
Gulshan Grover,MultiPlatform,27
John Cleese,MultiPlatform,27
Saif Ali Khan,MultiPlatform,26
Willem Dafoe,MultiPlatform,26
Pierce Brosnan,MultiPlatform,26
Rajesh Kava,Netflix,26
Anne-Marie Newland,Amazon Prime,25
Keith David,MultiPlatform,25
Morgan Freeman,MultiPlatform,25
Tom Kenny,MultiPlatform,25
Sean Astin,MultiPlatform,25
Ben Kingsley,MultiPlatform,25
John Abraham,MultiPlatform,25
Pankaj Tripathi,MultiPlatform,25
Johnny Depp,MultiPlatform,25
Rani Mukerji,MultiPlatform,25
Asrani,MultiPlatform,25
Kay Kay Menon,MultiPlatform,25
Andrea Libman,Netflix,25
Ewan McGregor,MultiPlatform,24
Steve Buscemi,MultiPlatform,24
John Wayne,MultiPlatform,24
Roy Rogers,MultiPlatform,24
Alfred Molina,MultiPlatform,24
Mike Epps,MultiPlatform,24
Ray Liotta,MultiPlatform,24
Sam Vincent,MultiPlatform,24
Jackie Shroff,MultiPlatform,24
Antonio Banderas,MultiPlatform,24
James Franco,MultiPlatform,24
Sanjay Mishra,MultiPlatform,24
Tress MacNeille,MultiPlatform,24
Robert Downey Jr.,MultiPlatform,23
Guy Pearce,MultiPlatform,23
Sharat Saxena,MultiPlatform,23
Jane Lynch,MultiPlatform,23
Ron Perlman,MultiPlatform,23
Liev Schreiber,MultiPlatform,23
David Attenborough,MultiPlatform,23
Eric Roberts,MultiPlatform,23
Ajay Devgn,MultiPlatform,23
Nawazuddin Siddiqui,MultiPlatform,23
Ashleigh Ball,MultiPlatform,23
Jigna Bhardwaj,Netflix,23
Sachin Khedekar,MultiPlatform,22
Dennis Quaid,MultiPlatform,22
John Travolta,MultiPlatform,22
Katrina Kaif,MultiPlatform,22
Laurence Fishburne,MultiPlatform,22
Fred Armisen,MultiPlatform,22
James Cromwell,MultiPlatform,22
Vijay Sethupathi,MultiPlatform,22
Abhishek Bachchan,MultiPlatform,22
Anjali,MultiPlatform,22
Amrish Puri,MultiPlatform,22
Vijay Raaz,MultiPlatform,22
Clancy Brown,MultiPlatform,22
Harvey Keitel,MultiPlatform,22
Manoj Joshi,MultiPlatform,22
Rajpal Yadav,MultiPlatform,22
Junichi Suwabe,MultiPlatform,22
Rishi Kapoor,MultiPlatform,22
Rajesh Sharma,MultiPlatform,22
Cassandra Peterson,Amazon Prime,22
Yashpal Sharma,MultiPlatform,22
David Spade,MultiPlatform,22
